date,product_category,region,price,discount,festival_name,is_festival,impact_level,sales
2024-07-25,Clothing,East,921.52,9.12,None,0,Low,91
2024-07-10,Groceries,North,1297.64,2.37,None,0,Low,68
2024-09-05,Groceries,South,1358.68,47.29,Eid,1,High,582
2024-11-04,Home Decor,West,4125.63,46.44,Pongal,1,Low,567
2024-03-14,Clothing,East,1243.42,23.48,Christmas,1,Medium,876
2024-09-11,Jewelry,East,4187.36,48.35,Eid,1,High,461
2024-02-16,Jewelry,West,2502.47,2.97,None,0,Low,182
2024-01-12,Clothing,South,4506.99,12.34,Holi,1,Medium,645
2024-12-04,Groceries,West,3341.61,9.08,None,0,Low,182
2024-05-05,Clothing,South,1685.04,34.87,Navratri,1,High,712
2024-06-12,Electronics,East,2514.94,14.19,Ganesh Chaturthi,1,High,780
2024-04-07,Clothing,East,2865.23,10.08,None,0,Low,114
2024-04-11,Toys,East,3892.65,8.02,None,0,Low,156
2024-11-27,Jewelry,South,3314.77,4.47,None,0,Low,229
2024-11-14,Jewelry,South,2567.02,6.57,None,0,Low,67
2024-04-11,Electronics,East,1722.98,14.93,None,0,Low,153
2024-03-12,Electronics,South,4976.73,0.28,None,0,Low,233
2024-07-03,Toys,East,2752.6,38.72,Navratri,1,High,986
2024-12-17,Clothing,South,2177.19,32.29,Onam,1,Medium,774
2024-09-11,Toys,East,2196.62,37.37,Navratri,1,High,912
2024-04-30,Home Decor,North,2807.54,29.72,Eid,1,High,820
2024-12-03,Groceries,East,2168.06,10.53,None,0,Low,71
2024-10-24,Home Decor,South,2125.46,11.06,None,0,Low,116
2024-10-21,Home Decor,West,2314.68,0.34,None,0,Low,82
2024-11-03,Toys,South,937.87,36.05,Navratri,1,High,228
2024-02-13,Electronics,North,147.78,10.14,None,0,Low,96
2024-04-27,Jewelry,South,610.36,7.75,None,0,Low,256
2024-01-01,Clothing,East,1483.36,4.54,None,0,Low,107
2024-08-03,Home Decor,North,3591.07,13.16,None,0,Low,261
2024-10-24,Electronics,West,1608.71,11.85,None,0,Low,105
2024-09-24,Jewelry,North,3009.03,7.54,None,0,Low,194
2024-06-25,Toys,West,585.37,3.2,None,0,Low,213
2024-02-26,Groceries,North,1078.0,14.99,Holi,1,Medium,253
2024-11-02,Toys,West,1399.74,39.98,Eid,1,High,866
2024-11-28,Home Decor,North,3944.38,14.34,None,0,Low,159
2024-01-27,Groceries,North,141.42,41.63,Ganesh Chaturthi,1,High,947
2024-10-30,Electronics,East,1269.05,10.36,Navratri,1,High,247
2024-05-12,Clothing,North,4779.39,5.56,None,0,Low,217
2024-11-22,Clothing,North,1518.55,16.37,Diwali,1,High,262
2024-10-12,Electronics,North,4161.46,8.84,None,0,Low,54
2024-12-22,Groceries,East,952.09,15.67,Raksha Bandhan,1,Medium,644
2024-11-06,Toys,East,1670.71,5.33,None,0,Low,267
2024-03-18,Toys,South,4153.13,15.4,Diwali,1,High,814
2024-07-04,Electronics,North,1630.98,8.1,None,0,Low,245
2024-12-30,Home Decor,North,321.2,3.4,None,0,Low,189
2024-09-02,Home Decor,North,4916.69,6.48,None,0,Low,163
2024-06-24,Electronics,East,2020.24,8.48,None,0,Low,115
2024-08-17,Electronics,South,2448.26,12.26,None,0,Low,195
2024-04-17,Clothing,South,1686.73,14.39,None,0,Low,199
2024-11-03,Jewelry,North,4532.43,10.53,None,0,Low,175
2024-06-24,Electronics,East,3433.42,7.17,None,0,Low,105
2024-01-19,Groceries,South,4124.99,11.1,None,0,Low,70
2024-04-21,Home Decor,South,181.87,5.65,None,0,Low,257
2024-04-29,Groceries,West,3355.68,17.57,Ganesh Chaturthi,1,High,966
2024-12-15,Clothing,North,4661.75,5.67,None,0,Low,160
2024-07-04,Home Decor,North,2011.71,27.91,Christmas,1,Medium,296
2024-01-07,Toys,South,2826.76,13.99,None,0,Low,60
2024-01-22,Groceries,South,3429.78,3.05,None,0,Low,156
2024-07-27,Electronics,South,3787.73,5.77,None,0,Low,286
2024-09-30,Electronics,West,1153.18,0.51,None,0,Low,161
2024-11-08,Electronics,North,4292.12,18.61,Navratri,1,High,662
2024-03-18,Home Decor,East,1102.55,0.7,None,0,Low,106
2024-12-23,Toys,North,3221.89,15.49,Christmas,1,Medium,365
2024-11-10,Toys,North,1693.81,20.15,Ganesh Chaturthi,1,High,607
2024-09-14,Jewelry,South,4084.97,12.05,None,0,Low,187
2024-04-25,Clothing,North,1158.68,4.49,None,0,Low,227
2024-08-11,Jewelry,East,3360.14,37.69,Ganesh Chaturthi,1,High,926
2024-04-06,Groceries,West,4237.31,17.39,Ganesh Chaturthi,1,High,699
2024-06-06,Jewelry,West,4841.92,20.75,Christmas,1,Medium,545
2024-07-10,Jewelry,South,4848.98,30.45,Ganesh Chaturthi,1,High,335
2024-09-26,Toys,North,4055.35,48.81,Raksha Bandhan,1,Medium,306
2024-11-24,Electronics,East,2435.13,6.89,None,0,Low,276
2024-12-10,Clothing,South,4900.55,0.8,None,0,Low,245
2024-09-11,Groceries,West,2781.4,0.16,None,0,Low,149
2024-12-06,Groceries,South,1659.04,36.76,Navratri,1,High,297
2024-06-08,Electronics,South,2612.58,41.68,Ganesh Chaturthi,1,High,318
2024-09-03,Electronics,East,3074.18,1.24,None,0,Low,232
2024-08-31,Clothing,North,3850.73,5.77,None,0,Low,227
2024-10-26,Electronics,East,1362.79,33.04,Eid,1,High,246
2024-09-29,Home Decor,West,3838.22,39.77,Ganesh Chaturthi,1,High,615
2024-07-11,Toys,East,2937.6,47.95,Holi,1,Medium,965
2024-08-26,Toys,South,2423.63,17.95,Diwali,1,High,961
2024-10-30,Toys,North,2829.01,17.52,Raksha Bandhan,1,Medium,742
2024-07-11,Clothing,East,207.81,37.53,Christmas,1,Medium,369
2024-08-31,Clothing,North,375.59,31.07,Holi,1,Medium,511
2024-06-13,Groceries,West,4848.07,12.99,None,0,Low,81
2024-01-06,Home Decor,South,1666.32,15.13,Raksha Bandhan,1,Medium,576
2024-06-17,Electronics,North,2688.82,11.88,None,0,Low,115
2024-10-28,Groceries,South,3337.56,32.94,Eid,1,High,643
2024-05-22,Electronics,South,1321.05,11.76,Pongal,1,Low,687
2024-10-23,Jewelry,North,2297.69,39.54,Onam,1,Medium,530
2024-11-10,Toys,South,329.14,11.15,None,0,Low,102
2024-09-04,Home Decor,West,4276.6,47.38,Diwali,1,High,519
2024-06-16,Electronics,South,3670.23,37.69,Pongal,1,Low,814
2024-02-28,Toys,South,1458.13,45.82,Raksha Bandhan,1,Medium,270
2024-06-04,Electronics,South,4247.77,13.49,Holi,1,Medium,634
2024-04-17,Clothing,North,2473.75,2.41,None,0,Low,214
2024-04-08,Jewelry,South,1526.19,2.09,None,0,Low,241
2024-02-09,Jewelry,West,4394.38,9.05,None,0,Low,279
2024-03-23,Clothing,West,4263.38,6.28,None,0,Low,229
2024-08-22,Jewelry,North,3719.52,30.38,Holi,1,Medium,786
2024-06-13,Electronics,East,3611.06,5.19,None,0,Low,204
2024-08-27,Home Decor,East,347.2,15.91,Pongal,1,Low,518
2024-04-17,Groceries,East,4006.39,16.2,Onam,1,Medium,617
2024-09-23,Groceries,East,4066.02,11.98,None,0,Low,51
2024-06-22,Clothing,South,1625.28,12.95,None,0,Low,85
2024-10-27,Jewelry,West,4137.35,2.21,None,0,Low,198
2024-06-09,Groceries,South,796.48,46.12,Onam,1,Medium,881
2024-12-29,Home Decor,East,443.03,42.11,Pongal,1,Low,228
2024-05-29,Groceries,East,3082.37,41.78,Pongal,1,Low,445
2024-11-01,Clothing,East,4916.74,13.06,Ganesh Chaturthi,1,High,771
2024-06-27,Clothing,West,4597.81,20.39,Holi,1,Medium,716
2024-05-13,Electronics,North,3829.14,20.69,Pongal,1,Low,347
2024-06-30,Jewelry,West,189.61,1.62,None,0,Low,159
2024-02-18,Groceries,East,3475.76,14.24,Raksha Bandhan,1,Medium,639
2024-02-08,Jewelry,East,2364.24,38.62,Raksha Bandhan,1,Medium,789
2024-05-22,Groceries,North,1386.57,22.84,Eid,1,High,981
2024-10-15,Home Decor,South,3500.7,8.26,None,0,Low,220
2024-07-14,Electronics,East,2454.08,10.87,None,0,Low,290
2024-05-10,Jewelry,West,3544.48,44.33,Eid,1,High,772
2024-05-11,Home Decor,West,1428.9,36.07,Eid,1,High,362
2024-09-24,Clothing,West,4351.19,18.36,Christmas,1,Medium,442
2024-05-17,Clothing,East,1917.51,37.01,Eid,1,High,496
2024-10-04,Clothing,West,1488.9,1.06,None,0,Low,118
2024-01-02,Electronics,North,1415.85,44.73,Ganesh Chaturthi,1,High,845
2024-05-31,Groceries,South,2804.04,48.82,Pongal,1,Low,390
2024-12-03,Clothing,North,2304.75,27.45,Eid,1,High,443
2024-03-16,Electronics,West,4053.21,37.2,Navratri,1,High,304
2024-07-24,Clothing,South,1781.75,46.3,Pongal,1,Low,882
2024-07-19,Toys,North,1967.19,10.73,None,0,Low,53
2024-09-20,Clothing,West,3746.18,38.72,Raksha Bandhan,1,Medium,297
2024-07-27,Toys,West,4511.25,37.49,Ganesh Chaturthi,1,High,565
2024-07-02,Toys,East,1352.62,14.08,None,0,Low,276
2024-08-14,Clothing,East,2599.08,14.76,None,0,Low,202
2024-09-14,Clothing,South,4224.56,2.45,None,0,Low,277
2024-08-15,Home Decor,West,2723.19,2.39,None,0,Low,284
2024-06-29,Clothing,North,2905.65,0.54,None,0,Low,167
2024-09-10,Jewelry,North,912.88,33.5,Pongal,1,Low,330
2024-03-28,Jewelry,South,676.85,6.23,None,0,Low,56
2024-03-12,Groceries,North,725.32,8.18,None,0,Low,221
2024-06-09,Clothing,West,4755.43,37.04,Holi,1,Medium,431
2024-09-15,Jewelry,West,2864.08,35.37,Christmas,1,Medium,497
2024-03-09,Electronics,East,1040.35,5.84,None,0,Low,236
2024-06-11,Jewelry,North,4367.84,15.84,Eid,1,High,638
2024-03-06,Electronics,North,1258.94,1.26,None,0,Low,250
2024-11-08,Electronics,South,672.02,4.52,None,0,Low,225
2024-09-16,Home Decor,North,4217.94,8.58,None,0,Low,96
2024-02-05,Toys,South,3522.22,13.27,None,0,Low,103
2024-03-01,Jewelry,West,4456.93,0.85,None,0,Low,91
2024-09-30,Electronics,West,2818.87,15.34,Eid,1,High,590
2024-04-16,Jewelry,West,1455.79,3.25,None,0,Low,277
2024-12-24,Toys,East,732.27,12.58,None,0,Low,219
2024-05-31,Clothing,West,1315.83,37.23,Onam,1,Medium,955
2024-09-01,Clothing,West,4667.68,13.09,None,0,Low,290
2024-04-10,Clothing,East,4025.62,8.23,None,0,Low,204
2024-02-12,Home Decor,West,3932.73,31.86,Navratri,1,High,640
2024-03-27,Electronics,North,2709.03,13.63,None,0,Low,138
2024-08-03,Toys,North,3243.28,0.86,None,0,Low,197
2024-02-03,Jewelry,South,2038.64,6.79,None,0,Low,169
2024-05-27,Electronics,North,4823.68,16.36,Christmas,1,Medium,215
2024-09-27,Jewelry,West,2264.78,10.04,None,0,Low,248
2024-05-26,Jewelry,South,1564.91,41.26,Holi,1,Medium,780
2024-10-24,Electronics,North,1530.42,29.77,Navratri,1,High,897
2024-01-16,Groceries,West,872.56,23.52,Christmas,1,Medium,570
2024-10-17,Home Decor,West,2068.61,14.96,None,0,Low,283
2024-06-15,Toys,West,3681.66,12.15,None,0,Low,249
2024-01-05,Groceries,East,2694.76,1.83,None,0,Low,159
2024-04-03,Jewelry,West,1078.86,27.47,Pongal,1,Low,257
2024-12-15,Groceries,South,4994.57,13.72,None,0,Low,227
2024-05-29,Home Decor,East,3547.11,13.87,None,0,Low,60
2024-03-28,Groceries,South,3505.91,42.37,Pongal,1,Low,409
2024-09-21,Electronics,West,4988.13,6.77,None,0,Low,286
2024-01-15,Electronics,South,2228.97,6.02,None,0,Low,137
2024-09-30,Jewelry,West,2903.7,46.31,Eid,1,High,284
2024-11-18,Toys,North,3779.77,45.16,Raksha Bandhan,1,Medium,655
2024-10-01,Toys,South,4964.46,13.64,None,0,Low,225
2024-01-21,Toys,East,3868.22,24.6,Christmas,1,Medium,326
2024-05-31,Groceries,South,2763.61,23.48,Eid,1,High,766
2024-11-14,Electronics,West,1787.96,32.98,Diwali,1,High,978
2024-08-28,Clothing,East,864.22,15.38,Raksha Bandhan,1,Medium,642
2024-11-16,Jewelry,North,2183.25,31.93,Christmas,1,Medium,631
2024-06-01,Electronics,North,2934.66,22.35,Holi,1,Medium,418
2024-03-14,Home Decor,South,1971.45,44.59,Navratri,1,High,808
2024-11-12,Groceries,South,2147.81,12.69,None,0,Low,144
2024-08-03,Home Decor,West,4379.21,3.17,None,0,Low,59
2024-07-29,Jewelry,West,2291.42,6.57,None,0,Low,173
2024-10-14,Toys,West,3568.96,13.59,Ganesh Chaturthi,1,High,311
2024-01-09,Toys,East,276.33,1.95,None,0,Low,117
2024-09-11,Groceries,East,1174.86,10.49,None,0,Low,103
2024-03-14,Home Decor,South,3870.4,11.43,None,0,Low,122
2024-08-30,Toys,West,4845.84,3.5,None,0,Low,280
2024-10-21,Clothing,North,4838.41,36.32,Christmas,1,Medium,313
2024-03-30,Toys,North,2666.41,14.11,None,0,Low,140
2024-04-18,Groceries,North,1896.41,10.86,None,0,Low,85
2024-11-05,Electronics,North,991.28,8.02,None,0,Low,113
2024-04-13,Clothing,South,232.06,5.15,None,0,Low,123
2024-06-08,Home Decor,East,3983.65,32.69,Ganesh Chaturthi,1,High,700
2024-11-04,Jewelry,West,1494.75,1.72,None,0,Low,186
2024-07-14,Toys,North,1703.49,9.25,None,0,Low,265
2024-08-25,Toys,East,1562.18,28.82,Pongal,1,Low,447
2024-10-28,Groceries,North,2816.69,20.39,Onam,1,Medium,354
2024-11-17,Toys,South,3032.02,4.96,None,0,Low,208
2024-07-23,Clothing,South,1345.16,4.67,None,0,Low,276
2024-06-29,Groceries,West,1717.49,6.84,None,0,Low,224
2024-03-29,Home Decor,West,1428.76,29.41,Eid,1,High,382
2024-08-07,Groceries,North,4965.15,9.71,None,0,Low,103
2024-03-22,Groceries,South,4855.13,13.86,Navratri,1,High,956
2024-08-28,Groceries,West,2146.98,1.23,None,0,Low,195
2024-03-24,Toys,West,3159.01,6.0,None,0,Low,53
2024-10-03,Home Decor,West,3677.41,4.24,None,0,Low,208
2024-07-10,Jewelry,East,2539.78,13.13,None,0,Low,287
2024-10-08,Electronics,South,1291.7,20.83,Eid,1,High,650
2024-02-12,Groceries,West,1146.31,4.63,None,0,Low,151
2024-06-15,Electronics,West,4744.82,12.87,None,0,Low,58
2024-05-26,Home Decor,West,113.81,27.44,Christmas,1,Medium,667
2024-08-24,Electronics,South,3770.99,11.23,None,0,Low,50
2024-07-02,Electronics,West,1948.48,17.75,Christmas,1,Medium,674
2024-09-12,Clothing,West,3422.8,8.88,None,0,Low,79
2024-04-06,Groceries,East,3849.78,9.78,None,0,Low,204
2024-11-16,Home Decor,South,3309.87,3.18,None,0,Low,168
2024-10-13,Home Decor,East,1629.65,5.52,None,0,Low,185
2024-02-02,Toys,North,1848.55,39.23,Holi,1,Medium,574
2024-09-27,Clothing,South,4541.99,12.03,Ganesh Chaturthi,1,High,646
2024-11-14,Home Decor,South,745.61,45.27,Pongal,1,Low,857
2024-06-07,Groceries,North,2973.63,5.06,None,0,Low,203
2024-12-01,Electronics,West,4156.79,13.33,None,0,Low,114
2024-08-31,Toys,East,4904.83,13.74,None,0,Low,290
2024-05-01,Electronics,West,618.23,31.58,Ganesh Chaturthi,1,High,784
2024-11-21,Clothing,South,2694.32,1.11,None,0,Low,251
2024-04-26,Jewelry,South,3758.65,15.94,Raksha Bandhan,1,Medium,678
2024-11-18,Groceries,South,3331.24,3.27,None,0,Low,200
2024-12-18,Home Decor,South,1711.06,26.48,Ganesh Chaturthi,1,High,260
2024-03-01,Toys,South,360.0,41.07,Pongal,1,Low,596
2024-10-18,Jewelry,South,4732.0,23.83,Eid,1,High,531
2024-04-15,Home Decor,North,2587.15,2.74,None,0,Low,143
2024-09-08,Groceries,South,4520.14,5.75,None,0,Low,162
2024-04-14,Electronics,West,3613.17,1.52,None,0,Low,65
2024-04-20,Home Decor,North,820.66,18.63,Ganesh Chaturthi,1,High,286
2024-07-31,Toys,North,1890.38,11.37,None,0,Low,195
2024-04-07,Home Decor,North,681.58,48.38,Diwali,1,High,505
2024-07-03,Toys,East,2753.12,5.49,None,0,Low,243
2024-11-04,Groceries,West,3472.8,20.88,Eid,1,High,649
2024-01-23,Electronics,North,1221.51,41.52,Navratri,1,High,693
2024-02-18,Clothing,East,1968.14,42.22,Holi,1,Medium,409
2024-09-12,Toys,West,3749.08,2.7,None,0,Low,170
2024-09-01,Home Decor,South,2610.08,33.4,Diwali,1,High,776
2024-11-24,Clothing,South,3511.01,6.72,None,0,Low,54
2024-03-30,Jewelry,North,4503.87,16.64,Diwali,1,High,462
2024-07-30,Electronics,South,314.57,37.37,Christmas,1,Medium,849
2024-06-14,Toys,East,1227.68,6.48,None,0,Low,267
2024-10-12,Electronics,East,4524.82,10.41,Pongal,1,Low,749
2024-02-05,Home Decor,West,135.66,15.7,Christmas,1,Medium,228
2024-12-07,Groceries,South,1702.32,35.55,Christmas,1,Medium,697
2024-09-26,Toys,East,2985.01,11.28,Holi,1,Medium,578
2024-07-07,Electronics,East,2821.13,17.89,Onam,1,Medium,595
2024-12-03,Electronics,South,433.55,35.21,Diwali,1,High,382
2024-03-26,Home Decor,North,2574.02,4.29,None,0,Low,148
2024-08-03,Electronics,West,3638.92,18.82,Raksha Bandhan,1,Medium,467
2024-09-12,Groceries,South,579.57,3.74,None,0,Low,115
2024-09-14,Groceries,East,3395.9,12.73,None,0,Low,296
2024-05-01,Toys,South,1180.28,42.34,Pongal,1,Low,329
2024-09-22,Jewelry,East,4319.88,30.03,Diwali,1,High,896
2024-03-08,Clothing,North,2810.59,25.29,Christmas,1,Medium,996
2024-12-05,Jewelry,East,2111.7,3.56,None,0,Low,289
2024-12-11,Groceries,East,2567.61,8.35,None,0,Low,120
2024-01-26,Toys,South,3896.15,0.38,None,0,Low,200
2024-02-01,Toys,West,569.48,3.79,None,0,Low,150
2024-08-26,Electronics,South,3871.01,1.73,None,0,Low,52
2024-12-28,Home Decor,East,1820.27,35.63,Pongal,1,Low,794
2024-03-28,Jewelry,East,1488.52,4.06,None,0,Low,213
2024-06-19,Clothing,West,273.97,3.15,None,0,Low,290
2024-08-09,Jewelry,South,4956.41,8.01,None,0,Low,286
2024-08-10,Home Decor,North,2859.67,2.1,None,0,Low,247
2024-12-05,Home Decor,North,4631.46,8.62,None,0,Low,142
2024-11-11,Jewelry,East,941.65,6.78,None,0,Low,183
2024-12-28,Toys,North,4031.13,6.31,None,0,Low,146
2024-01-20,Home Decor,North,384.66,1.81,None,0,Low,144
2024-10-24,Jewelry,North,2544.6,7.87,None,0,Low,253
2024-09-07,Groceries,South,2897.73,27.69,Ganesh Chaturthi,1,High,452
2024-05-25,Jewelry,North,4374.21,9.02,None,0,Low,86
2024-11-21,Electronics,East,1912.26,26.54,Diwali,1,High,607
2024-01-27,Clothing,East,4392.52,26.14,Diwali,1,High,800
2024-01-03,Electronics,North,3002.29,12.01,None,0,Low,192
2024-04-03,Toys,South,1904.37,33.99,Ganesh Chaturthi,1,High,290
